Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsRiverMth,delta,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Tower,316450.0,MI00545,,0.0,0.0,0.0,0.0,Michigan,Public Utility,Hydroelectric,0.0,0.0,0.0,1918.0,,NID,542731.2,NID,221.5896,15.24,-84.2971368046,45.3636521902,12498968,90014273.0,761.484,0.0,"[np.float64(316407.0), np.float64(316192.0), np.float64(316622.0), np.float64(316195.0)]",316451.0,"[8, 0]",0,0,2,0,64802,0,0
Adamsville Hydroelectric Dam,316614.0,MI00729,,0.0,0.0,0.0,0.0,Michigan,Private,Hydroelectric,0.0,0.0,0.0,1865.0,,NID,2343612.0,NID,501.396,3.3528,-85.998269577,41.7834542018,12262674,90014278.0,288.049,0.0,,53866.0,"[0, 9]",0,1,2,0,53866,-112,0
Wire and Nail Factory,370220.0,WI12423,,0.0,0.0,0.0,0.0,Wisconsin,Private,Hydroelectric,0.0,0.0,0.0,1934.0,,NID,33303.96,NID,25.2984,8.5344,-87.969889551,43.3009407257,12162392,90014308.0,324.281,0.0,[np.float64(369563.0)],369765.0,[0],0,0,2,152206,0,0,0
Upper Dam,369917.0,WI00799,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Hydroelectric,0.0,0.0,0.0,1883.0,,NID,1603524.0,NID,88.0872,10.668,-88.7885189121,44.8547374935,9031819,90014341.0,335.164,0.0,[np.float64(369378.0)],369919.0,[0],0,0,2,0,118419,0,0
Grand River Marsh,369972.0,WI00877,,0.0,0.0,0.0,0.0,Wisconsin,State,Other,0.0,0.0,0.0,1969.0,,NID,27136560.0,NID,1584.96,4.8768,-89.2606359719,43.7283527988,6868127,90014354.0,432.094,0.0,[np.float64(369449.0)],118814.0,"[0, 8]",0,0,2,0,118814,0,0
Cheney Lake Dam,316775.0,MI01370,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1986.0,,NID,66607.92,NID,36.576,6.096,-85.0271908027,42.4472536778,3473055,90014380.0,448.676,0.0,,316744.0,"[0, 9]",0,1,2,0,64469,0,0
60 Foot Dam,341629.0,NY00378,,0.0,0.0,0.0,0.0,New York,Local Government,Water Supply,0.0,0.0,0.0,1911.0,,NID,1591189.2,NID,67.056,22.86,-76.4607181251,42.4173512008,21984285,90014409.0,110.442,0.0,,341643.0,"[0, 9]",0,1,2,0,90454,-120,0
Lock 29 Dam Barge Canal,342326.0,NY01213,,0.0,0.0,0.0,0.0,New York,State,Hydroelectric,0.0,0.0,1.0,1912.0,,NID,1295154.0,NID,21.0312,7.0104,-77.2505453166,43.0639253271,21975995,90014418.0,318.634,0.0,"[np.float64(341975.0), np.float64(341634.0), np.float64(341633.0)]",342105.0,[0],0,0,2,0,90751,-120,0
Schoonover Lake Dam,343445.0,OH00523,,0.0,0.0,0.0,0.0,Ohio,Local Government,Recreation,0.0,0.0,0.0,1890.0,,NID,263964.72,NID,476.0976,5.1816,-84.0947145132,40.7494800034,15653137,90014433.0,349.994,0.0,"[np.float64(343444.0), np.float64(343448.0)]",17658.0,"[5, 0]",0,0,2,17658,17658,-118,0
East Br Cazenovia Creek Legion Dam,342356.0,NY01246,,0.0,0.0,0.0,0.0,New York,Local Government,Flood Risk Reduction,0.0,0.0,0.0,1960.0,,NID,145550.64,NID,50.292,3.9624,-78.6246906419,42.7586131908,15575251,90014465.0,130.13,0.0,[np.float64(342598.0)],,[10],1,0,2,0,0,0,0
Rockville,369461.0,WI00152,,0.0,0.0,0.0,0.0,Wisconsin,Local Government,Hydroelectric,0.0,0.0,0.0,1913.0,,NID,900440.4,NID,39.624,4.2672,-88.0000947738,43.9203413318,12177302,90014587.0,409.13,0.0,[np.float64(369460.0)],369555.0,[0],0,0,2,0,0,0,0
Richardson,369409.0,WI00082,,0.0,0.0,0.0,0.0,Wisconsin,Private,Recreation,0.0,0.0,0.0,1857.0,,NID,61674.0,NID,853.44,3.6576,-87.83454088,43.7206862992,12175590,90014588.0,203.706,0.0,[np.float64(369582.0)],370071.0,"[0, 8]",0,0,2,0,0,0,0
